#ST-Typ;Wert;Beschreibung
ST_Abgangsgrund;01;Kuendigung VN zum Ablauf
ST_Abgangsgrund;02;Kuendigung VN im Schadenfall / allgemeine Differenzen
ST_Abgangsgrund;03;Kuendigung VN bei Beitragserhoehung / Tarifaktion
ST_Abgangsgrund;04;Kuendigung VU zum Ablauf
ST_Abgangsgrund;05;Kuendigung VU im Schadenfall
ST_Abgangsgrund;06;Kuendigung VU mangels Beitragszahlung (Folgebeitrag § 38 VVG)
ST_Abgangsgrund;07;Kuendigung Risikofortfall (Besitzerwechsel) / Umzug ins Ausland / Versicherungsfaehigkeit nicht gegeben / Berufsunfaehigkeit / Totalschaden
ST_Abgangsgrund;08;Ersatzversicherung / Umstellung Einzelversicherung in Gruppenversicherung / Umstellung Gruppenversicherung in Einzelversicherung
ST_Abgangsgrund;09;Storno zum Ablauf kurzfristiger Vertraege
ST_Abgangsgrund;10;Vertragsunterbrechung mit Reservierung (spez. KFZ)
ST_Abgangsgrund;11;Vertragsunterbrechung ohne Reservierung (spez. KFZ)
ST_Abgangsgrund;12;Nicht in Kraft getretener Vertrag / Storno ab Beginn (§ 37 VVG) (deprecated, siehe auch Schlüssel 39 und 40)
ST_Abgangsgrund;13;Kuendigung des Erwerbers bei Besitzwechsel
ST_Abgangsgrund;14;Tod Versicherungsnehmer
ST_Abgangsgrund;15;Altersablauf / Endalter
ST_Abgangsgrund;16;Kuendigungsklausel gestrichen
ST_Abgangsgrund;17;Erlebensfallauszahlung
ST_Abgangsgrund;18;Abgang aus Rahmenvertrag
ST_Abgangsgrund;19;Beitragsfreistellung vom VN beantragt
ST_Abgangsgrund;20;Beitragsfreistellung gemaess § 38 VVG
ST_Abgangsgrund;21;Vertragsende durch Tod der versicherten Person
ST_Abgangsgrund;22;Vertragsende durch Ablauf (Vertrag)
ST_Abgangsgrund;23;Vertragsende durch Heirat (mitversichertes Kind)
ST_Abgangsgrund;24;Rueckkauf
ST_Abgangsgrund;25;Verfall
ST_Abgangsgrund;26;Anbieterwechsel
ST_Abgangsgrund;27;Wechsel zur Gesetzlichen-Krankenversicherung - pflichtig
ST_Abgangsgrund;28;Wechsel zur Gesetzlichen-Krankenversicherung - freiwillig
ST_Abgangsgrund;29;Vertragstrennung / -Zusammenlegung
ST_Abgangsgrund;30;Agentur und/oder Geschaeftsstellenwechsel
ST_Abgangsgrund;31;Ruecktritt (z. B. Verletzung der vorvertraglichen Anzeigepflicht / Anfechtung)
ST_Abgangsgrund;32;Abgang nach Tarifwechsel
ST_Abgangsgrund;33;Rücktritt vom Vertrag wegen Verletzung der Informationspflicht
ST_Abgangsgrund;34;Fristlose Kündigung wegen vorsätzlicher oder grob fahrlässiger Verletzung der Anzeigepflicht
ST_Abgangsgrund;35;Kündigung wegen leicht fahrlässiger oder nicht zu vertretender Verletzung der Anzeigepflicht durch VN
ST_Abgangsgrund;36;Kündigung VN wegen Ausschluss der Gefahr durch VU
ST_Abgangsgrund;37;Storno mit Übergang auf anderes VU im Falle einer Fusion bzw. eines Zukaufs
ST_Abgangsgrund;38;Storno wegen Fortführung unter neuer Versicherungsscheinnummer
ST_Abgangsgrund;39;Kündigung VU mangels Beitragszahlung (Erstbeitrag)
ST_Abgangsgrund;40;Widerruf des VN ab Beginn.
ST_Abgangsgrund;41;Doppelversicherung
ST_Abgangsgrund;42;Beendigung wegen Aufgabe der im Antrag genannten beruflichen Tätigkeit.
